periodo;regiao;instituicao;urgencias_gerais;urgencias_pediatricas;urgencias_obstetricas;urgencias_psiquiatricas;total_urgencias
2019-10-01;Região de Saúde Centro;Centro Hospitalar do Baixo Vouga;106647;31941;6393;0;144981
2019-10-01;Região de Saúde Centro;Hospital Distrital da Figueira da Foz;45972;15359;0;0;61331
2019-10-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro;125968;22569;3982;0;152519
2019-11-01;Região de Saúde Alentejo;Hospital Espírito Santo de Évora;50046;18011;0;0;68057
2019-11-01;Região de Saúde Centro;Centro Hospitalar de Leiria;129344;30876;12022;0;172242
2019-11-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;191987;58688;22992;0;273667
2019-11-01;Região de Saúde Centro;Centro Hospitalar Tondela-Viseu;102573;29957;14606;0;147136
2019-11-01;Região de Saúde Centro;Unidade Local de Saúde de Castelo Branco;48528;10101;1473;0;60102
2019-11-01;Região de Saúde LVT;Centro Hospitalar do Oeste;112619;42397;9894;0;164910
2019-11-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;107410;25337;2815;0;135562
2019-11-01;Região de Saúde LVT;Hospital de Cascais;84869;47821;13640;0;146330
2019-11-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;66407;0;0;0;66407
2019-11-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa;130979;32623;13652;0;177254
2019-12-01;Região de Saúde Alentejo;Hospital Espírito Santo de Évora;54535;19979;0;0;74514
2019-12-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;85980;15979;4197;0;106156
2019-12-01;Região de Saúde Centro;Centro Hospitalar de Leiria;141412;35093;13048;0;189553
2019-12-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;208407;65376;25256;0;299039
2019-12-01;Região de Saúde LVT;Centro Hospitalar do Oeste;123120;48732;10774;0;182626
2019-12-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte;186423;46345;18923;0;251691
2019-12-01;Região de Saúde Norte;Hospital de Braga;156305;50284;17055;0;223644
2020-01-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;8395;0;0;0;8395
2020-01-01;Região de Saúde Centro;Centro Hospitalar de Leiria;11985;2989;1096;0;16070
2020-01-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte;16322;4612;1614;0;22548
2020-01-01;Região de Saúde LVT;Hospital Distrital de Santarém;7890;3852;676;0;12418
2020-01-01;Região de Saúde Norte;Centro Hospitalar Universitário de São João;14302;7339;1271;0;22912
2020-01-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto;11147;0;1921;0;13068
2020-02-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;15461;3383;763;0;19607
2020-02-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;16505;0;0;0;16505
2020-02-01;Região de Saúde Centro;Centro Hospitalar do Baixo Vouga;21207;7175;1192;0;29574
2020-02-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;33983;12301;4083;0;50367
2020-02-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo;19085;7614;1788;0;28487
2020-02-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental;19621;6451;2435;0;28507
2020-02-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;19127;5149;563;0;24839
2020-02-01;Região de Saúde LVT;Hospital Garcia de Orta;17731;5958;3097;0;26786
2020-02-01;Região de Saúde Norte;Hospital da Senhora da Oliveira;16202;5546;1708;0;23456
2020-02-01;Região de Saúde Norte;Hospital Santa Maria Maior;8338;2977;0;0;11315
2020-03-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;21569;0;0;0;21569
2020-03-01;Região de Saúde Centro;Centro Hospitalar Universitário Cova da Beira;10921;3323;796;0;15040
2020-03-01;Região de Saúde Centro;Centro Hospitalar do Baixo Vouga;28370;8329;1592;0;38291
2020-03-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental;25797;7701;3290;0;36788
2020-03-01;Região de Saúde LVT;Hospital de Loures;26203;13492;4149;0;43844
2020-03-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca;40361;13160;4734;0;58255
2020-03-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro;32751;6655;1072;0;40478
2020-03-01;Região de Saúde Norte;Hospital da Senhora da Oliveira;21536;6611;2293;0;30440
2020-03-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;30173;4674;1366;0;36213
2020-04-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;23579;4227;1322;0;29128
2020-04-01;Região de Saúde Centro;Centro Hospitalar do Baixo Vouga;33706;8661;1966;0;44333
2020-04-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte;47296;11351;4681;0;63328
2020-04-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;23152;0;2918;0;26070
2020-05-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;29349;0;0;0;29349
2020-05-01;Região de Saúde Centro;Centro Hospitalar de Leiria;44973;8679;4245;0;57897
2020-05-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo;35905;10810;3472;0;50187
2020-05-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;36036;7368;1444;0;44848
2020-05-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca;59039;15237;6978;0;81254
2020-05-01;Região de Saúde Norte;Centro Hospitalar do Médio Ave;30311;8407;2266;0;40984
2020-05-01;Região de Saúde Norte;Hospital de Braga;48797;12927;5215;0;66939
2020-05-01;Região de Saúde Norte;Hospital Santa Maria Maior;16091;3844;0;0;19935
2020-06-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;75427;20918;10172;0;106517
2020-06-01;Região de Saúde Centro;Centro Hospitalar Tondela-Viseu;43347;10014;6520;0;59881
2020-06-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central;52046;25340;8605;2649;88640
2020-06-01;Região de Saúde LVT;Centro Hospitalar do Oeste;44694;13488;3892;0;62074
2020-06-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;42602;8060;1802;0;52464
2020-06-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto;53265;0;9995;0;63260
2020-06-01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga;64110;9065;3389;0;76564
2020-06-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;40162;0;0;0;40162
2020-07-01;Região de Saúde Alentejo;Unidade Local de Saúde do Norte Alentejano;34700;3156;790;0;38646
2020-07-01;Região de Saúde Centro;Centro Hospitalar Universitário Cova da Beira;22396;4644;1690;0;28730
2020-07-01;Região de Saúde Centro;Hospital Distrital da Figueira da Foz;24341;6016;0;0;30357
2020-07-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo;49232;13010;4787;0;67029
2020-07-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;50119;9039;2141;0;61299
2020-07-01;Região de Saúde LVT;Hospital de Loures;51814;18612;7688;0;78114
2020-07-01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga;75132;10043;3991;0;89166
2020-07-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;31281;0;0;0;31281
2020-07-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro;64502;9433;2871;0;76806
2020-07-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho;62122;13286;5858;0;81266
2020-08-01;Região de Saúde Alentejo;Hospital Espírito Santo de Évora;28822;7534;0;0;36356
2020-08-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;42561;6067;2321;0;50949
2020-08-01;Região de Saúde Centro;Centro Hospitalar do Baixo Vouga;64791;12884;3939;0;81614
2020-08-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;102697;26831;13901;0;143429
2020-08-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;37627;5844;2678;0;46149
2020-08-01;Região de Saúde LVT;Hospital de Loures;58725;20185;8857;0;87767
2020-08-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca;92408;19806;10749;0;122963
2020-08-01;Região de Saúde Norte;Centro Hospitalar do Médio Ave;49332;11612;3813;0;64757
2020-08-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;35771;0;0;0;35771
2020-08-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro;75143;10501;3519;0;89163
2020-08-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho;71538;14714;6821;0;93073
2020-08-01;Região de Saúde Norte;Hospital da Senhora da Oliveira;50754;10189;5664;0;66607
2020-08-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;45777;0;5465;0;51242
2020-08-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;66147;7110;3294;0;76551
2020-09-01;Região de Saúde Alentejo;Hospital Espírito Santo de Évora;32546;8361;0;0;40907
2020-09-01;Região de Saúde Centro;Centro Hospitalar de Leiria;80957;13876;7735;0;102568
2020-09-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;115596;30094;15710;0;161400
2020-09-01;Região de Saúde Centro;Hospital Distrital da Figueira da Foz;32518;7682;0;0;40200
2020-09-01;Região de Saúde Centro;Unidade Local de Saúde de Castelo Branco;30814;4466;1011;0;36291
2020-09-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central;77523;35588;13046;4197;130354
2020-09-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte;100368;19644;10620;0;130632
2020-09-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;64847;11172;2751;0;78770
2020-09-01;Região de Saúde LVT;Hospital Garcia de Orta;62116;13335;10937;0;86388
2020-09-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa;95491;16420;9757;0;121668
2020-09-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho;80593;16576;7770;0;104939
2020-09-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;74186;7866;3758;0;85810
2020-10-01;Região de Saúde Alentejo;Hospital Espírito Santo de Évora;36252;9313;0;0;45565
2020-10-01;Região de Saúde Centro;Centro Hospitalar Universitário Cova da Beira;32314;6234;2467;0;41015
2020-10-01;Região de Saúde LVT;Centro Hospitalar do Oeste;73706;19848;6542;0;100096
2020-10-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;71838;12404;3071;0;87313
2020-10-01;Região de Saúde LVT;Hospital de Cascais;59335;23693;9489;0;92517
2020-10-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca;115386;25117;13150;0;153653
2020-10-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro;93086;12802;4667;0;110555
2020-10-01;Região de Saúde Norte;Hospital Santa Maria Maior;32880;5416;0;0;38296
2020-11-01;Região de Saúde Centro;Centro Hospitalar Universitário Cova da Beira;35178;6697;2683;0;44558
2020-11-01;Região de Saúde LVT;Hospital Distrital de Santarém;57171;15391;6189;0;78751
2020-11-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca;125787;27419;14424;0;167630
2020-11-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto;96692;0;18361;0;115053
2020-11-01;Região de Saúde Norte;Hospital Santa Maria Maior;36229;5770;0;0;41999
2020-11-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;73097;0;0;0;73097
2020-12-01;Região de Saúde Algarve;Centro Hospitalar Universitário do Algarve;194831;41967;17804;0;254602
2020-12-01;Região de Saúde Centro;Centro Hospitalar Tondela-Viseu;88947;18352;13420;0;120719
2020-12-01;Região de Saúde Centro;Unidade Local de Saúde de Castelo Branco;40244;5635;1350;0;47229
2020-12-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental;82717;18068;11830;0;112615
2020-12-01;Região de Saúde LVT;Centro Hospitalar de Setúbal;69750;22145;10206;0;102101
2020-12-01;Região de Saúde LVT;Centro Hospitalar do Oeste;86184;22794;7687;0;116665
2020-12-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;84045;14337;3593;0;101975
2020-12-01;Região de Saúde LVT;Hospital Distrital de Santarém;61941;16260;6717;0;84918
2020-12-01;Região de Saúde LVT;Hospital Garcia de Orta;80155;17863;14407;0;112425
2020-12-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro;110320;14707;5761;0;130788
2020-12-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho;106487;21919;10170;0;138576
2020-12-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;68921;0;7946;0;76867
2020-12-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;79035;0;0;0;79035
2021-01-01;Região de Saúde Alentejo;Hospital Espírito Santo de Évora;3133;523;0;0;3656
2021-01-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;4695;902;246;0;5843
2021-01-01;Região de Saúde Alentejo;Unidade Local de Saúde do Norte Alentejano;3886;257;88;0;4231
2021-01-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental;6250;1236;814;0;8300
2021-01-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;4897;0;572;0;5469
2021-01-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;7241;510;337;0;8088
2021-02-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;8526;0;0;0;8526
2021-02-01;Região de Saúde Algarve;Centro Hospitalar Universitário do Algarve;25188;3869;2595;0;31652
2021-02-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;19532;4071;2858;0;26461
2021-02-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central;13735;5361;2337;652;22085
2021-02-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;11391;1426;434;0;13251
2021-02-01;Região de Saúde LVT;Hospital Distrital de Santarém;8106;1260;863;0;10229
2021-02-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto;13158;0;2523;0;15681
2021-02-01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga;16808;1511;905;0;19224
2021-02-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho;14452;2379;1371;0;18202
2021-02-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;8865;0;1110;0;9975
2021-02-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;10049;0;0;0;10049
2021-03-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;13377;0;0;0;13377
2021-03-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;31415;6354;4588;0;42357
2021-03-01;Região de Saúde Centro;Hospital Distrital da Figueira da Foz;9168;1407;0;0;10575
2021-03-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte;22873;3693;3143;0;29709
2021-03-01;Região de Saúde LVT;Hospital de Cascais;12981;3801;2210;0;18992
2021-03-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;10643;0;0;0;10643
2021-04-01;Região de Saúde Alentejo;Hospital Espírito Santo de Évora;12745;2297;0;0;15042
2021-04-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;18838;0;0;0;18838
2021-04-01;Região de Saúde Centro;Centro Hospitalar Universitário Cova da Beira;11607;1601;874;0;14082
2021-04-01;Região de Saúde Centro;Centro Hospitalar do Baixo Vouga;29097;5018;1851;0;35966
2021-04-01;Região de Saúde Centro;Hospital Distrital da Figueira da Foz;12735;2305;0;0;15040
2021-04-01;Região de Saúde Centro;Unidade Local de Saúde de Castelo Branco;11252;1547;372;0;13171
2021-04-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte;32557;5896;4476;0;42929
2021-04-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;24989;3451;958;0;29398
2021-04-01;Região de Saúde LVT;Hospital de Cascais;18789;6379;3102;0;28270
2021-04-01;Região de Saúde LVT;Hospital de Loures;23825;6356;3719;0;33900
2021-04-01;Região de Saúde LVT;Hospital Distrital de Santarém;18529;3124;1990;0;23643
2021-05-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;25019;0;0;0;25019
2021-05-01;Região de Saúde Centro;Centro Hospitalar de Leiria;40758;6656;3937;0;51351
2021-05-01;Região de Saúde Centro;Hospital Distrital da Figueira da Foz;16824;3438;0;0;20262
2021-05-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;21854;3529;1403;0;26786
2021-05-01;Região de Saúde Centro;Unidade Local de Saúde de Castelo Branco;14900;2319;469;0;17688
2021-05-01;Região de Saúde LVT;Hospital de Loures;31996;10133;4943;0;47072
2021-05-01;Região de Saúde LVT;Hospital de Vila Franca de Xira;26608;8573;2827;0;38008
2021-05-01;Região de Saúde Norte;Centro Hospitalar Universitário de São João;56626;18623;4486;0;79735
2021-05-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho;43222;8586;3957;0;55765
2021-05-01;Região de Saúde Norte;Hospital de Braga;49992;10221;4638;0;64851
2021-05-01;Região de Saúde Norte;Hospital Santa Maria Maior;16078;1750;0;0;17828
2021-05-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;26625;0;3354;0;29979
2021-06-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;31645;0;0;0;31645
2021-06-01;Região de Saúde Centro;Centro Hospitalar do Baixo Vouga;49282;11024;2946;0;63252
2021-06-01;Região de Saúde LVT;Centro Hospitalar de Setúbal;34577;10990;4709;0;50276
2021-06-01;Região de Saúde LVT;Hospital de Loures;40160;14206;6124;0;60490
2021-06-01;Região de Saúde LVT;Hospital de Vila Franca de Xira;33467;12130;3523;0;49120
2021-06-01;Região de Saúde LVT;Hospital Garcia de Orta;37902;9744;6704;0;54350
2021-06-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;33456;0;4162;0;37618
2021-07-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;35559;6058;1988;0;43605
2021-07-01;Região de Saúde Centro;Centro Hospitalar Universitário Cova da Beira;22954;4173;1683;0;28810
2021-07-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo;46480;12722;4484;0;63686
2021-07-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central;60601;32038;9783;3157;105579
2021-07-01;Região de Saúde LVT;Centro Hospitalar de Setúbal;41710;13994;5665;0;61369
2021-07-01;Região de Saúde LVT;Hospital Garcia de Orta;45887;12074;8120;0;66081
2021-07-01;Região de Saúde Norte;Centro Hospitalar Universitário de São João;86016;31657;6650;0;124323
2021-07-01;Região de Saúde Norte;Hospital Santa Maria Maior;24476;3550;0;0;28026
2021-08-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;40236;6782;2483;0;49501
2021-08-01;Região de Saúde LVT;Hospital de Cascais;46847;20727;7102;0;74676
2021-08-01;Região de Saúde LVT;Hospital de Vila Franca de Xira;47282;17716;5049;0;70047
2021-08-01;Região de Saúde LVT;Hospital Distrital de Santarém;45124;10789;4433;0;60346
2021-08-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca;97007;23039;10640;0;130686
2021-08-01;Região de Saúde Norte;Centro Hospitalar Universitário de São João;100926;36818;7729;0;145473
2021-08-01;Região de Saúde Norte;Centro Hospitalar do Médio Ave;50992;12193;3801;0;66986
2021-08-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto;71455;0;12246;0;83701
2021-08-01;Região de Saúde Norte;Hospital da Senhora da Oliveira;55360;12096;5629;0;73085
2021-08-01;Região de Saúde Norte;Hospital Santa Maria Maior;28934;4217;0;0;33151
2021-08-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;54053;0;0;0;54053
2021-09-01;Região de Saúde Alentejo;Hospital Espírito Santo de Évora;34324;9101;0;0;43425
2021-09-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;53472;0;0;0;53472
2021-09-01;Região de Saúde Centro;Centro Hospitalar Tondela-Viseu;72781;15542;10032;0;98355
2021-09-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo;61928;17353;6041;0;85322
2021-09-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central;81367;42225;13123;4252;140967
2021-09-01;Região de Saúde LVT;Centro Hospitalar do Oeste;70583;19801;5820;0;96204
2021-09-01;Região de Saúde LVT;Hospital de Cascais;54072;24177;8094;0;86343
2021-09-01;Região de Saúde LVT;Hospital Distrital de Santarém;51689;12780;5055;0;69524
2021-09-01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga;104809;15087;5648;0;125544
2021-09-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho;87855;20889;7694;0;116438
2021-09-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;55134;0;6900;0;62034
2021-10-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;60724;0;0;0;60724
2021-10-01;Região de Saúde Algarve;Centro Hospitalar Universitário do Algarve;188122;43216;15794;0;247132
2021-10-01;Região de Saúde Centro;Centro Hospitalar de Leiria;96448;19106;8812;0;124366
2021-10-01;Região de Saúde Centro;Hospital Distrital da Figueira da Foz;39898;10652;0;0;50550
2021-10-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo;70084;21131;6883;0;98098
2021-10-01;Região de Saúde LVT;Hospital de Vila Franca de Xira;60957;25516;6486;0;92959
2021-10-01;Região de Saúde LVT;Hospital Garcia de Orta;69194;21511;12475;0;103180
2021-10-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto;92416;0;15629;0;108045
2021-10-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;48999;0;0;0;48999
2021-10-01;Região de Saúde Norte;Hospital de Braga;113627;28036;10138;0;151801
2021-10-01;Região de Saúde Norte;Hospital Santa Maria Maior;37193;6403;0;0;43596
2021-10-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;90747;9556;4265;0;104568
2021-11-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;61102;11930;3186;0;76218
2021-11-01;Região de Saúde Algarve;Centro Hospitalar Universitário do Algarve;207819;49545;17241;0;274605
2021-11-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;148786;46943;18772;0;214501
2021-11-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central;103379;58501;16299;5325;183504
2021-11-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte;119250;27921;14456;0;161627
2021-11-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;87429;18969;3302;0;109700
2021-11-01;Região de Saúde Norte;Centro Hospitalar do Médio Ave;72860;20548;5389;0;98797
2021-11-01;Região de Saúde Norte;Hospital de Braga;125707;32383;11129;0;169219
2021-12-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;74458;0;0;0;74458
2021-12-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;162500;51927;20575;0;235002
2021-12-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;62616;12359;3725;0;78700
2021-12-01;Região de Saúde LVT;Hospital de Loures;85713;38174;13424;0;137311
2021-12-01;Região de Saúde LVT;Hospital de Vila Franca de Xira;73797;33597;7678;0;115072
2021-12-01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga;146942;24568;7735;0;179245
2021-12-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho;119739;33106;10505;0;163350
2022-01-01;Região de Saúde Centro;Centro Hospitalar Universitário Cova da Beira;3484;746;250;56;4536
2022-01-01;Região de Saúde Centro;Centro Hospitalar de Leiria;9936;1780;924;0;12640
2022-01-01;Região de Saúde Centro;Centro Hospitalar do Baixo Vouga;9931;2393;478;0;12802
2022-01-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental;7723;2285;1178;0;11186
2022-01-01;Região de Saúde LVT;Hospital de Loures;7772;3165;1079;0;12016
2022-01-01;Região de Saúde LVT;Hospital de Vila Franca de Xira;6332;2563;621;0;9516
2022-01-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;5699;0;0;0;5699
2022-01-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa;12669;2835;1116;0;16620
2022-01-01;Região de Saúde Norte;Hospital de Braga;11563;2734;1050;0;15347
2022-01-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;6581;0;728;0;7309
2022-01-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;7868;0;0;0;7868
2022-02-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;26992;9098;3570;0;39660
2022-02-01;Região de Saúde Centro;Centro Hospitalar Tondela-Viseu;16135;4128;2329;0;22592
2022-02-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;10346;1781;555;0;12682
2022-02-01;Região de Saúde LVT;Centro Hospitalar do Oeste;16429;5612;1314;0;23355
2022-02-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;16366;3894;605;0;20865
2022-02-01;Região de Saúde LVT;Hospital de Cascais;12620;6595;1883;0;21098
2022-02-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca;25457;7958;2851;0;36266
2022-02-01;Região de Saúde Norte;Centro Hospitalar Universitário de São João;25163;11132;2052;0;38347
2022-02-01;Região de Saúde Norte;Centro Hospitalar do Médio Ave;13707;4214;977;0;18898
2022-02-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;10753;0;0;0;10753
2022-02-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho;19820;5427;1608;0;26855
2022-02-01;Região de Saúde Norte;Hospital da Senhora da Oliveira;15402;4195;1481;0;21078
2022-02-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;14885;0;0;0;14885
2022-03-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;43617;16937;5399;0;65953
2022-03-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;16923;3507;895;0;21325
2022-03-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental;23626;9234;3627;0;36487
2022-03-01;Região de Saúde LVT;Centro Hospitalar de Setúbal;20471;10595;2474;0;33540
2022-03-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte;35604;10031;4201;0;49836
2022-03-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo;26652;7598;940;0;35190
2022-03-01;Região de Saúde LVT;Hospital de Cascais;20519;12358;2960;0;35837
2022-03-01;Região de Saúde Norte;Hospital de Braga;35622;10577;3175;0;49374
2022-04-01;Região de Saúde Alentejo;Unidade Local de Saúde do Norte Alentejano;22541;2950;759;0;26250
2022-04-01;Região de Saúde Centro;Centro Hospitalar Tondela-Viseu;35042;10868;4663;0;50573
2022-04-01;Região de Saúde Centro;Hospital Distrital da Figueira da Foz;16717;5938;0;0;22655
2022-04-01;Região de Saúde LVT;Centro Hospitalar de Setúbal;27666;14570;3366;0;45602
2022-04-01;Região de Saúde LVT;Centro Hospitalar do Oeste;36181;14751;2648;0;53580
2022-04-01;Região de Saúde LVT;Hospital de Cascais;27949;17118;4017;0;49084
2022-05-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;33375;8540;1521;0;43436
2022-05-01;Região de Saúde Centro;Centro Hospitalar Tondela-Viseu;44857;14417;5942;0;65216
